source_id	title_a	title_b	lang_gloss	date_start	date_end	Bib	Gomilet	Bog	Agiogr	Pov	Litur	Epi	Letop	Hron	Docum
1619	Выг.сб.			12	12	+			+						
1620	Выг.сб.			12	12	+			+						
1621	Выг.сб.			12	12	+			+						
1622	Выг.сб.			12	12	+			+						
1623	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1624	Выг.сб.			12	12	+			+						
1625	Выг.сб.			12	12	+			+						
1626	Ж.Нифонта			1219				греческий	+						
1627	Ж.Нифонта			1219				греческий	+						
1628	Ж.Нифонта			1219				греческий	+						
1629	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1630	Выг.сб.			12	12	+			+						
1631	Выг.сб.			12	12	+			+						
1632	Выг.сб.			12	12	+			+						
1633	Выг.сб.			12	12	+			+						
1634	Ж.Нифонта			1219				греческий	+						
1635	Выг.сб.			12	12	+			+						
1636	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1637	Выг.сб.			12	12	+			+						
1638	Авр.См., Ж.Авраам.Смол., Ж.Авр.Смол.			13	17				+						
1639	Выг.сб.			12	12	+			+						
1640	Выг.сб.			12	12	+			+						
1641	Выг.сб.			12	12	+			+						
1642	Выг.сб.			12	12	+			+						
1643	Выг.сб.			12	12	+			+						
1644	Выг.сб.			12	12	+			+						
1645	Авр.См., Ж.Авраам.Смол., Ж.Авр.Смол.			13	17				+						
1646	Авр.См., Ж.Авраам.Смол., Ж.Авр.Смол.			13	17				+						
1647	Выг.сб.			12	12	+			+						
1648	Выг.сб.			12	12	+			+						
1649	Выг.сб.			12	12	+			+						
1650	Ж.Нифонта			1219				греческий	+						
1651	Выг.сб.			12	12	+			+						
1652	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1653	Авр.См., Ж.Авраам.Смол., Ж.Авр.Смол.			13	17				+						
1654	Выг.сб.			12	12	+			+						
1655	Авр.См., Ж.Авраам.Смол., Ж.Авр.Смол.			13	17				+						
1656	Ж.Нифонта			1219					+						
1657	Выг.сб.			12	12	+			+						
1658	Ж.Нифонта			1219				греческий	+						
1659	Выг.сб.			12	12	+			+						
1660	Выг.сб.			12	12	+			+						
1661	Ж.Нифонта			1219				греческий	+						
1662	Выг.сб.			12	12	+			+						
1663	Ж.Нифонта			1219				греческий	+						
1664	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1665	Выг.сб.			12	12	+			+						
1666	Авр.См., Ж.Авраам.Смол., Ж.Авр.Смол.			13	17				+						
1667	Ж.Нифонта			1219				греческий	+						
1668	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1669	Выг.сб.			12	12	+			+						
1670	Выг.сб.			12	12	+			+						
1671	Выг.сб.			12	12	+			+						
1672	Ж.Нифонта			1219				греческий	+						
1673	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1674	Выг.сб.			12	12	+			+						
1675	Ж.Нифонта			1219				греческий	+						
1676	Ж.Нифонта			1219				греческий	+						
1677	Ал.Нв., Ж.Ал.Нев.			13	13				+						
1678	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1679	Выг.сб.			12	12	+			+						
1680	Авр.См., Ж.Авраам.Смол., Ж.Авр.Смол.			13	17				+						
1681	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1682	Выг.сб.			12	12	+			+						
1683	Авр.См., Ж.Авраам.Смол., Ж.Авр.Смол.			13	17				+						
1684	Выг.сб.			12	12	+			+						
1685	Авр.См., Ж.Авраам.Смол., Ж.Авр.Смол.			13	17				+						
1686	Выг.сб.			12	12	+			+						
1687	Ж.Нифонта			1219				греческий	+						
1688	Авр.См., Ж.Авраам.Смол., Ж.Авр.Смол.			13	17				+						
1689	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1690	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1691	Авр.См., Ж.Авраам.Смол., Ж.Авр.Смол.			13	17				+						
1692	Выг.сб.			12	12	+			+						
1693	Выг.сб.			12	12	+			+						
1694	Ж.Нифонта			1219				греческий	+						
1695	Выг.сб.			12	12	+			+						
1696	Ж.Нифонта			1219				греческий	+						
1697	Авр.См., Ж.Авраам.Смол., Ж.Авр.Смол.			13	17				+						
1698	Выг.сб.			12	12	+			+						
1699	Выг.сб.			12	12	+			+						
1700	Выг.сб.			12	12	+			+						
1701	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1702	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1703	Баг.Бгр., Баг.Мат., Баг.М.			1600	1693					+					+
1704	Булав.восст.			1703	1709					+				+	
1705	Баг.Бгр., Баг.Мат., Баг.М.			1600	1693					+					+
1706	Гб., Гебд.			1659	1661					+					
1707	Гб., Гебд.			1659	1661					+					
1708	Баг.Бгр., Баг.Мат., Баг.М.			1600	1693					+					+
1709	А.Ипат.м., Кс.М.			1659	1660					+					
1710	Гб., Гебд.			1659	1661					+					
1711	Артакс.действо			1672	1674					+					
1712	Врем.И.Тим., Вр.И.Т., Смутн.врем., c.261–472, Ск. о см.вр., Пам.Смутн.Врем.			17	17					+					
1713	Врем.И.Тим., Вр.И.Т., Смутн.врем., c.261–472, Ск. о см.вр., Пам.Смутн.Врем.			17	17					+					
1714	Врем.И.Тим., Вр.И.Т., Смутн.врем., c.261–472, Ск. о см.вр., Пам.Смутн.Врем.			17	17					+					
1715	Врем.И.Тим., Вр.И.Т., Смутн.врем., c.261–472, Ск. о см.вр., Пам.Смутн.Врем.			17	17					+					
1716	Баг.Бгр., Баг.Мат., Баг.М.			1600	1693					+					+
1717	Врем.И.Тим., Вр.И.Т., Смутн.врем., c.261–472, Ск. о см.вр., Пам.Смутн.Врем.			17	17					+					
1718	Баг.Бгр., Баг.Мат., Баг.М.			1600	1693					+					+
1719	Гб., Гебд.			1659	1661					+					
1720	Баг.Бгр., Баг.Мат., Баг.М.			1600	1693					+					+
1721	Баг.Бгр., Баг.Мат., Баг.М.			1600	1693					+					+
1722	Артакс.действо			1672	1674					+					
1723	Баг.Бгр., Баг.Мат., Баг.М.			1600	1693					+					+
1724	Бхн., Кн.п.Балахн.			15						+					
1725	Врем.И.Тим., Вр.И.Т., Смутн.врем., c.261–472, Ск. о см.вр., Пам.Смутн.Врем.			17	17					+					
1726	Баг.Бгр., Баг.Мат., Баг.М.			1600	1693					+					+
1727	Баг.Бгр., Баг.Мат., Баг.М.			1600	1693					+					+
1728	Баг.Бгр., Баг.Мат., Баг.М.			1600	1693					+					+
